Compound ID,SMILES,FilterItLogS,Lipinski,SIC0,RNCG,RPCG,ATS0Z,AATS0i,Log_sol
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-2.790325882761411,1,0.5,0.330753788756304,0.5512522318445603,1230,162.0077159370123,-2.18
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,-2.129910721808897,1,0.5204260414863776,0.3116903930765028,0.6951889990559648,942,164.1024939629309,-2.0
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-2.433985882761411,1,0.5,0.25,0.3354262337929164,1230,162.0077159370123,-1.74
"1,1,2-Trichloroethane",ClCC(Cl)Cl,-2.147370721808898,1,0.5204260414863776,0.3729168969379626,0.3640498515906619,942,164.1024939629309,-1.48
"1,1,2-Trichlorotrifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,-2.664600442853576,1,0.5204260414863776,0.2777515649885069,0.5332215075648326,1182,208.5911093938375,-3.04
"1,1-Dichloroethane",CC(Cl)Cl,-1.466564027736467,1,0.5,0.4294994501695388,0.4249604490181807,654,166.1972719888495,-1.29
"1,1-Dichloroethylene",ClC(=C)Cl,-1.47346323542649,1,0.6131471927654584,0.337953349194981,0.4684429275844422,652,159.957145310383,-1.64
"1,1-Diethoxyethane ",CCOC(C)OCC,-1.32901139470886,1,0.2782127046172332,0.4399992749239394,0.1921300333390097,358,169.1143562038403,-0.43
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.565661576512394,1,0.40701901811629,0.2024991002226271,0.1943317499107612,1374,150.2699293213415,-4.57
"1,2,3,4-Tetrahydronapthalene",C1CCc2ccccc2C1,-2.865086620019952,1,0.222905136009398,0.1280126518464555,0.1292439094868346,372,158.4979720541358,-4.37
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,-4.565661576512394,1,0.40701901811629,0.2235158903168304,0.2067228859640076,1374,150.2699293213415,-4.63
"1,2,3-Trichlorobenzene",Clc1cccc(Cl)c1Cl,-3.790285475932683,1,0.4184144184766947,0.2122767372541593,0.1997938904577292,1086,151.6664480052873,-4.0
"1,2,3-Trimethylbenzene ",Cc1cccc(C)c1C,-3.055349557103468,1,0.2243071347541535,0.1405276501011813,0.1424372331111658,336,160.007668052428,-3.2
"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,-5.429948783740722,1,0.40701901811629,0.1898528617643706,0.2479720388157634,5118,140.7387435290415,-6.98
"1,2,4,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,-4.565661576512394,1,0.40701901811629,0.2209237077077352,0.1751476578898533,1374,150.2699293213415,-5.56
"1,2,4,5-Tetramethylbenzene",Cc1cc(C)c(C)cc1C,-3.610082394121515,1,0.2137135814081428,0.1210579098880813,0.136218338102441,374,160.6996120516452,-4.59
"1,2,4-tribromobenzene",c1(Br)c(Br)cc(Br)cc1,-4.481116462516357,1,0.4184144184766947,0.184711206084072,0.2352509611751643,3894,144.5180586610623,-4.5
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,-3.790285475932683,1,0.4184144184766947,0.2371604502617944,0.18422518963894,1086,151.6664480052873,-3.59
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,-3.055349557103468,1,0.2243071347541535,0.1342762432499369,0.1429137865270977,336,160.007668052428,-3.31
"1,2-Benzenediol",Oc1ccccc1O,-0.5786733952133488,1,0.3805307530778357,0.4355215913052869,0.2533131177736636,350,160.083901449321,0.62
"1,2-Dibromobenzene",Brc1ccccc1Br,-3.502808740325573,1,0.40701901811629,0.1938564719107127,0.2015821918382776,2670,148.297373793083,-3.5
"1,2-Dibromoethane",BrCCBr,-2.395293751676093,1,0.5,0.5,0.2150216203342916,2526,159.0488826446245,-1.68
"1,2-Dichlorobenzene",Clc1ccccc1Cl,-3.002181541955481,1,0.40701901811629,0.223068644029482,0.1723180197670083,798,153.062966689233,-3.05
"1,2-Dichloroethane",ClCCCl,-1.840364027736467,1,0.5,0.5,0.178463917718902,654,166.1972719888495,-1.06
"1,2-Dichloropropane",CC(Cl)CCl,-1.893586414323361,1,0.4149153817759055,0.4245671205720752,0.1633117832178022,692,166.0188941862995,-1.6
